Entity,Code,Year,"Homicide rate per 100,000 population - Both Sexes - Age 0-19"
Albania,ALB,1987,0.21251516
Albania,ALB,1988,0.49715698
Albania,ALB,1989,0.42777455
Albania,ALB,1992,0.50841904
Albania,ALB,1993,1.4649278
Albania,ALB,1994,1.3302777
Albania,ALB,1995,2.3123906
Albania,ALB,1996,2.4875584
Albania,ALB,1997,12.290573
Albania,ALB,1998,5.8130655
Albania,ALB,1999,4.181209
Albania,ALB,2000,0.7246254
Albania,ALB,2001,2.0609462
Albania,ALB,2002,1.6938014
Albania,ALB,2003,1.7445644
Albania,ALB,2004,0.900428
Albania,ALB,2005,0
Albania,ALB,2006,0
Albania,ALB,2007,0.50065535
Albania,ALB,2008,0.6236585
Albania,ALB,2009,0
Albania,ALB,2010,1.1190927
Antigua and Barbuda,ATG,1961,3.4475625
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,0
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1966,0
Antigua and Barbuda,ATG,1969,0
Antigua and Barbuda,ATG,1970,0
Antigua and Barbuda,ATG,1971,0
Antigua and Barbuda,ATG,1972,0
Antigua and Barbuda,ATG,1973,5.7875395
Antigua and Barbuda,ATG,1974,0
Antigua and Barbuda,ATG,1975,0
Antigua and Barbuda,ATG,1976,0
Antigua and Barbuda,ATG,1977,3.0779648
Antigua and Barbuda,ATG,1978,0
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,0
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,0
Antigua and Barbuda,ATG,1990,0
Antigua and Barbuda,ATG,1991,4.070998
Antigua and Barbuda,ATG,1992,0
Antigua and Barbuda,ATG,1993,0
Antigua and Barbuda,ATG,1994,3.962593
Antigua and Barbuda,ATG,1995,0
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,0
Antigua and Barbuda,ATG,2001,0
Antigua and Barbuda,ATG,2002,3.627131
Antigua and Barbuda,ATG,2003,3.6248958
Antigua and Barbuda,ATG,2004,7.256631
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,0
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,3.6258159
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Antigua and Barbuda,ATG,2015,0
Antigua and Barbuda,ATG,2016,0
Antigua and Barbuda,ATG,2017,0
Argentina,ARG,1966,1.1818719
Argentina,ARG,1967,1.7521081
Argentina,ARG,1968,1.9428668
Argentina,ARG,1969,2.3690674
Argentina,ARG,1970,2.251953
Argentina,ARG,1977,2.6493242
Argentina,ARG,1978,2.1271956
Argentina,ARG,1979,1.3143308
Argentina,ARG,1980,1.2353032
Argentina,ARG,1981,1.329904
Argentina,ARG,1982,1.6074283
Argentina,ARG,1983,1.3641217
Argentina,ARG,1984,1.7017756
Argentina,ARG,1985,1.7175941
Argentina,ARG,1986,2.0729725
Argentina,ARG,1987,2.35247
Argentina,ARG,1988,2.3421855
Argentina,ARG,1989,2.7457523
Argentina,ARG,1990,2.0749135
Argentina,ARG,1991,1.6701546
Argentina,ARG,1992,2.0180104
Argentina,ARG,1993,1.8532932
Argentina,ARG,1994,1.8810688
Argentina,ARG,1995,1.8439021
Argentina,ARG,1996,2.2906373
Argentina,ARG,1997,2.3686345
Argentina,ARG,1998,2.1699753
Argentina,ARG,1999,2.30204
Argentina,ARG,2000,2.6666224
Argentina,ARG,2001,3.2624426
Argentina,ARG,2002,3.5657713
Argentina,ARG,2003,3.1956139
Argentina,ARG,2004,2.5676267
Argentina,ARG,2005,2.373674
Argentina,ARG,2006,2.173368
Argentina,ARG,2007,1.8316021
Argentina,ARG,2008,2.1916938
Argentina,ARG,2009,2.1869268
Argentina,ARG,2010,1.9902661
Argentina,ARG,2011,2.3693504
Argentina,ARG,2012,2.3363094
Argentina,ARG,2013,2.550932
Argentina,ARG,2014,2.5465868
Argentina,ARG,2015,2.4434192
Argentina,ARG,2016,1.9963133
Argentina,ARG,2017,1.6923169
Argentina,ARG,2018,1.6023188
Argentina,ARG,2019,1.47297
Armenia,ARM,1981,0.4574827
Armenia,ARM,1982,0
Armenia,ARM,1985,0.15375485
Armenia,ARM,1986,0.38363916
Armenia,ARM,1987,0.15288135
Armenia,ARM,1988,0.5337302
Armenia,ARM,1989,0.45007405
Armenia,ARM,1990,0.87885946
Armenia,ARM,1991,0.86481065
Armenia,ARM,1992,5.2507257
Armenia,ARM,1993,1.7351301
Armenia,ARM,1994,0.61998296
Armenia,ARM,1995,1.3441062
Armenia,ARM,1996,0.64182174
Armenia,ARM,1997,0.16311458
Armenia,ARM,1998,0.4157513
Armenia,ARM,1999,0.6807914
Armenia,ARM,2000,0.17489581
Armenia,ARM,2001,0.09005099
Armenia,ARM,2002,0.4621901
Armenia,ARM,2003,0.3789271
Armenia,ARM,2006,0
Armenia,ARM,2007,0.32174066
Armenia,ARM,2008,0.2219342
Armenia,ARM,2009,0.5732946
Armenia,ARM,2010,0.23735322
Armenia,ARM,2011,0.36899143
Armenia,ARM,2012,0.25385413
Armenia,ARM,2013,0.12997884
Armenia,ARM,2014,0
Armenia,ARM,2015,0.26610324
Armenia,ARM,2016,0.26812923
Armenia,ARM,2017,0.26994926
Armenia,ARM,2018,0.13581678
Armenia,ARM,2019,0.27296934
Australia,AUS,1950,0.84329027
Australia,AUS,1951,0.7052885
Australia,AUS,1952,1.0528368
Australia,AUS,1953,0.65506655
Australia,AUS,1954,0.6950028
Australia,AUS,1955,0.73060495
Australia,AUS,1956,0.73411804
Australia,AUS,1957,0.7098101
Australia,AUS,1958,0.93471664
Australia,AUS,1959,0.692509
Australia,AUS,1960,0.6711326
Australia,AUS,1961,0.7518808
Australia,AUS,1962,0.8055219
Australia,AUS,1963,0.9769646
Australia,AUS,1964,1.1892744
Australia,AUS,1965,0.8680453
Australia,AUS,1966,0.6731654
Australia,AUS,1967,0.73197156
Australia,AUS,1968,0.74567014
Australia,AUS,1969,0.7342702
Australia,AUS,1970,1.0143988
Australia,AUS,1971,1.1531408
Australia,AUS,1972,0.8289128
Australia,AUS,1973,1.1412821
Australia,AUS,1974,0.9546143
Australia,AUS,1975,0.8920315
Australia,AUS,1976,0.87177396
Australia,AUS,1977,1.485948
Australia,AUS,1978,0.83298194
Australia,AUS,1979,0.8550029
Australia,AUS,1980,1.195371
Australia,AUS,1981,0.936073
Australia,AUS,1982,1.1934975
Australia,AUS,1983,0.89517397
Australia,AUS,1984,1.0748382
Australia,AUS,1985,1.1531523
Australia,AUS,1986,1.1096507
Australia,AUS,1987,1.1433729
Australia,AUS,1988,1.1167532
Australia,AUS,1989,1.0519891
Australia,AUS,1990,1.1847149
Australia,AUS,1991,1.0104355
Australia,AUS,1992,0.68174094
Australia,AUS,1993,1.2489126
Australia,AUS,1994,0.9753911
Australia,AUS,1995,0.93358934
Australia,AUS,1996,1.0073138
Australia,AUS,1997,0.965417
Australia,AUS,1998,0.94280666
Australia,AUS,1999,0.7847504
Australia,AUS,2000,0.9885847
Australia,AUS,2001,0.8312034
Australia,AUS,2002,0.6773119
Australia,AUS,2003,0.7693988
Australia,AUS,2004,0.393011
Australia,AUS,2006,0.72165614
Australia,AUS,2007,0.4571366
Australia,AUS,2008,0.5770582
Australia,AUS,2009,0.5881292
Australia,AUS,2010,0.5658635
Australia,AUS,2011,0.38608995
Australia,AUS,2012,0.6419238
Australia,AUS,2013,0.41097888
Australia,AUS,2014,0.47397602
Australia,AUS,2015,0.61944157
Australia,AUS,2016,0.6616367
Australia,AUS,2017,0.31057596
Australia,AUS,2018,0.45291114
Australia,AUS,2019,0.25683072
Australia,AUS,2020,0.47998133
Austria,AUT,1955,1.4195875
Austria,AUT,1956,1.8422394
Austria,AUT,1957,1.196478
Austria,AUT,1958,1.1816018
Austria,AUT,1959,0.8014483
Austria,AUT,1960,1.4710753
Austria,AUT,1961,1.2855539
Austria,AUT,1962,0.7101802
Austria,AUT,1963,0.5150481
Austria,AUT,1964,0.9716568
Austria,AUT,1965,1.0458015
Austria,AUT,1966,1.427115
Austria,AUT,1967,1.0139202
Austria,AUT,1968,0.8313076
Austria,AUT,1969,1.0849404
Austria,AUT,1970,1.3356225
Austria,AUT,1971,0.6842721
Austria,AUT,1972,0.89197654
Austria,AUT,1973,0.93132967
Austria,AUT,1974,1.0596722
Austria,AUT,1975,0.9386691
Austria,AUT,1976,0.6029197
Austria,AUT,1977,0.7834507
Austria,AUT,1978,0.6176737
Austria,AUT,1979,0.8068022
Austria,AUT,1980,0.9550981
Austria,AUT,1981,0.5524839
Austria,AUT,1982,0.7485184
Austria,AUT,1983,1.3377537
Austria,AUT,1984,1.0245917
Austria,AUT,1985,0.94594425
Austria,AUT,1986,0.86300856
Austria,AUT,1987,0.9319771
Austria,AUT,1988,0.63308036
Austria,AUT,1989,0.9087289
Austria,AUT,1990,1.3982103
Austria,AUT,1991,0.96745116
Austria,AUT,1992,0.74845576
Austria,AUT,1993,0.90498024
Austria,AUT,1994,0.53254944
Austria,AUT,1995,0.8006264
Austria,AUT,1996,1.1221623
Austria,AUT,1997,0.6955952
Austria,AUT,1998,0.96525097
Austria,AUT,1999,0.6989097
Austria,AUT,2000,0.7564427
Austria,AUT,2001,0.7080606
Austria,AUT,2002,0.43867466
Austria,AUT,2003,0.5505535
Austria,AUT,2004,0.6072366
Austria,AUT,2005,0.7748819
Austria,AUT,2006,0.66766554
Austria,AUT,2007,0.5044498
Austria,AUT,2008,0.28246227
Austria,AUT,2009,0.22799532
Austria,AUT,2010,0.17264467
Austria,AUT,2011,0.5229563
Austria,AUT,2012,0.29304424
Austria,AUT,2013,0.118031844
Austria,AUT,2014,0.118485585
Austria,AUT,2015,0.29441345
Austria,AUT,2016,0.4084748
Austria,AUT,2017,0.40729454
Austria,AUT,2018,0.5236665
Austria,AUT,2019,0.34896544
Austria,AUT,2020,0.34910837
Azerbaijan,AZE,1981,0.59521586
Azerbaijan,AZE,1982,0.53027874
Azerbaijan,AZE,1985,0.39337426
Azerbaijan,AZE,1986,0.6497893
Azerbaijan,AZE,1987,0.8981642
Azerbaijan,AZE,1988,0.79028994
Azerbaijan,AZE,1989,0.34357134
Azerbaijan,AZE,1990,1.45092
Azerbaijan,AZE,1991,0.91339993
Azerbaijan,AZE,1992,23.4985
Azerbaijan,AZE,1993,22.414206
Azerbaijan,AZE,1994,32.253284
Azerbaijan,AZE,1995,4.0588927
Azerbaijan,AZE,1996,2.4693687
Azerbaijan,AZE,1997,1.9741429
Azerbaijan,AZE,1998,2.3995712
Azerbaijan,AZE,1999,2.5610504
Azerbaijan,AZE,2000,1.0167178
Azerbaijan,AZE,2001,0.66196907
Azerbaijan,AZE,2002,0.8189633
Azerbaijan,AZE,2003,0.8878075
Azerbaijan,AZE,2004,0.7719602
Azerbaijan,AZE,2007,0.031585757
Bahamas,BHS,1975,2.9354782
Bahamas,BHS,1979,3.7959669
Bahamas,BHS,1980,2.837765
Bahamas,BHS,1981,3.7689981
Bahamas,BHS,1983,0
Bahamas,BHS,1984,6.4903154
Bahamas,BHS,1985,8.286911
Bahamas,BHS,1987,7.2390327
Bahamas,BHS,1993,6.773691
Bahamas,BHS,1994,5.8591623
Bahamas,BHS,1995,4.1422276
Bahamas,BHS,1996,8.204724
Bahamas,BHS,1997,11.38415
Bahamas,BHS,1998,9.659191
Bahamas,BHS,1999,4.792447
Bahamas,BHS,2000,7.1595626
Bahamas,BHS,2001,3.9686635
Bahamas,BHS,2002,7.1312547
Bahamas,BHS,2003,7.115637
Bahamas,BHS,2004,4.7293997
Bahamas,BHS,2005,5.4983897
Bahamas,BHS,2006,7.0361423
Bahamas,BHS,2007,10.863661
Bahamas,BHS,2008,6.1507235
Bahamas,BHS,2009,8.377123
Bahamas,BHS,2010,6.0730743
Bahamas,BHS,2011,3.814639
Bahamas,BHS,2012,9.999077
Bahamas,BHS,2013,11.684063
Bahamas,BHS,2014,12.635237
Bahamas,BHS,2015,7.9946914
Bahrain,BHR,1985,0
Bahrain,BHR,1987,0
Bahrain,BHR,1988,0
Bahrain,BHR,1997,0.3773243
Bahrain,BHR,1998,0.3731984
Bahrain,BHR,1999,0.37032923
Bahrain,BHR,2000,0
Bahrain,BHR,2001,0.3680286
Bahrain,BHR,2002,0
Bahrain,BHR,2003,0
Bahrain,BHR,2004,0
Bahrain,BHR,2005,0
Bahrain,BHR,2006,0
Bahrain,BHR,2007,0
Bahrain,BHR,2008,0
Bahrain,BHR,2009,0
Bahrain,BHR,2010,0
Bahrain,BHR,2011,0
Bahrain,BHR,2012,0.31314096
Bahrain,BHR,2013,0
Bahrain,BHR,2014,0.29454386
Barbados,BRB,1960,0
Barbados,BRB,1961,0
Barbados,BRB,1962,0.90732574
Barbados,BRB,1963,0
Barbados,BRB,1964,0.88568467
Barbados,BRB,1966,0.87346923
Barbados,BRB,1967,2.6130128
Barbados,BRB,1968,2.6124895
Barbados,BRB,1969,0
Barbados,BRB,1970,0
Barbados,BRB,1971,1.75852
Barbados,BRB,1972,1.77104
Barbados,BRB,1973,2.679289
Barbados,BRB,1974,1.8045819
Barbados,BRB,1975,4.5668354
Barbados,BRB,1976,1.8527439
Barbados,BRB,1977,0
Barbados,BRB,1978,0.95711184
Barbados,BRB,1979,3.8978376
Barbados,BRB,1980,1.9902279
Barbados,BRB,1981,4.073071
Barbados,BRB,1982,2.0814254
Barbados,BRB,1983,2.1225564
Barbados,BRB,1984,1.0798087
Barbados,BRB,1985,3.289185
Barbados,BRB,1986,0
Barbados,BRB,1987,1.1248974
Barbados,BRB,1988,0
Barbados,BRB,1989,6.8925905
Barbados,BRB,1990,4.651704
Barbados,BRB,1991,7.0809827
Barbados,BRB,1992,8.38233
Barbados,BRB,1993,1.2145208
Barbados,BRB,1994,4.922229
Barbados,BRB,1995,1.2453611
Barbados,BRB,2000,1.2868191
Barbados,BRB,2001,3.8764699
Barbados,BRB,2002,7.7914996
Barbados,BRB,2003,5.2344375
Barbados,BRB,2004,3.957836
Barbados,BRB,2005,1.328992
Barbados,BRB,2006,4.0116606
Barbados,BRB,2007,2.683123
Barbados,BRB,2008,4.0214477
Barbados,BRB,2009,1.3410399
Barbados,BRB,2010,5.3987665
Barbados,BRB,2011,1.3636054
Barbados,BRB,2012,0
Barbados,BRB,2013,0
Belarus,BLR,1981,0.9410803
Belarus,BLR,1982,1.5065627
Belarus,BLR,1985,1.1158824
Belarus,BLR,1986,1.1083833
Belarus,BLR,1987,1.6815223
Belarus,BLR,1988,1.3476561
Belarus,BLR,1989,1.4986174
Belarus,BLR,1990,1.4313169
Belarus,BLR,1991,1.6243383
Belarus,BLR,1992,1.8225898
Belarus,BLR,1993,2.1233773
Belarus,BLR,1994,2.306017
Belarus,BLR,1995,2.4020016
Belarus,BLR,1996,2.6756918
Belarus,BLR,1997,2.5249941
Belarus,BLR,1998,1.9200472
Belarus,BLR,1999,2.1101656
Belarus,BLR,2000,2.090801
Belarus,BLR,2001,1.5822713
Belarus,BLR,2002,2.05732
Belarus,BLR,2003,1.5654647
Belarus,BLR,2007,0.7825918
Belarus,BLR,2008,0.852284
Belarus,BLR,2009,0.72604525
Belarus,BLR,2010,0.58998066
Belarus,BLR,2011,0.6459634
Belarus,BLR,2013,0.64764744
Belarus,BLR,2014,0.5441482
Belarus,BLR,2018,0.09527185
Belgium,BEL,1954,0.3621267
Belgium,BEL,1955,0.5568436
Belgium,BEL,1956,0.23560262
Belgium,BEL,1957,0.34861115
Belgium,BEL,1958,0.30560175
Belgium,BEL,1959,0.41397488
Belgium,BEL,1960,0.2958358
Belgium,BEL,1961,0.43427172
Belgium,BEL,1962,0.4248302
Belgium,BEL,1963,0.4521481
Belgium,BEL,1964,0.37690982
Belgium,BEL,1965,0.5072177
Belgium,BEL,1966,0.60400355
Belgium,BEL,1967,0.23424995
Belgium,BEL,1968,0.5347538
Belgium,BEL,1969,0.400806
Belgium,BEL,1970,0.5004369
Belgium,BEL,1971,0.5663901
Belgium,BEL,1972,0.59978825
Belgium,BEL,1973,0.33426327
Belgium,BEL,1974,0.6053177
Belgium,BEL,1975,0.4748554
Belgium,BEL,1976,0.2740333
Belgium,BEL,1977,0.3808152
Belgium,BEL,1978,0.2801984
Belgium,BEL,1979,0.92213523
Belgium,BEL,1980,0.82599634
Belgium,BEL,1981,0.290949
Belgium,BEL,1982,0.6633905
Belgium,BEL,1983,0.7479177
Belgium,BEL,1984,1.0644182
Belgium,BEL,1985,1.1591883
Belgium,BEL,1986,1.3323709
Belgium,BEL,1987,0.9117635
Belgium,BEL,1988,0.84022784
Belgium,BEL,1989,0.6451868
Belgium,BEL,1990,0.40604767
Belgium,BEL,1991,0.8166979
Belgium,BEL,1992,0.8610598
Belgium,BEL,1993,0.9045643
Belgium,BEL,1994,0.6179505
Belgium,BEL,1995,0.78336465
Belgium,BEL,1996,0.86575377
Belgium,BEL,1997,0.9069274
Belgium,BEL,1998,0.9073471
Belgium,BEL,1999,1.6514179
Belgium,BEL,2000,1.1156601
Belgium,BEL,2001,1.0336425
Belgium,BEL,2002,0.9101048
Belgium,BEL,2003,1.1165837
Belgium,BEL,2004,0.86671925
Belgium,BEL,2005,0.9458026
Belgium,BEL,2006,0.81880164
Belgium,BEL,2007,1.1002812
Belgium,BEL,2008,0.851538
Belgium,BEL,2009,0.4438573
Belgium,BEL,2010,0.4819852
Belgium,BEL,2011,0.48017228
Belgium,BEL,2012,0.6781235
Belgium,BEL,2013,0.59617233
Belgium,BEL,2014,0.5142334
Belgium,BEL,2015,0.51159936
Belgium,BEL,2016,0.19588155
Belgium,BEL,2017,0.42932257
Belgium,BEL,2018,0.505724
Belize,BLZ,1964,0
Belize,BLZ,1965,0
Belize,BLZ,1966,0
Belize,BLZ,1967,0
Belize,BLZ,1968,0
Belize,BLZ,1969,0
Belize,BLZ,1970,0
Belize,BLZ,1971,0
Belize,BLZ,1972,0
Belize,BLZ,1973,0
Belize,BLZ,1974,0
Belize,BLZ,1975,0
Belize,BLZ,1976,0
Belize,BLZ,1977,0
Belize,BLZ,1978,0
Belize,BLZ,1979,0
Belize,BLZ,1980,0
Belize,BLZ,1982,0
Belize,BLZ,1983,0
Belize,BLZ,1984,0
Belize,BLZ,1986,0
Belize,BLZ,1987,0
Belize,BLZ,1989,0
Belize,BLZ,1990,0
Belize,BLZ,1991,1.9554547
Belize,BLZ,1993,0
Belize,BLZ,1994,0
