Entity,Code,Year,"Homicide rate per 100,000 population - Female - All ages"
Afghanistan,AFG,2018,1.4390535
Afghanistan,AFG,2019,1.274152
Africa (UN),,2000,4.896529
Africa (UN),,2001,4.8821993
Africa (UN),,2002,4.873816
Africa (UN),,2003,4.742347
Africa (UN),,2004,4.653395
Africa (UN),,2005,4.5973587
Africa (UN),,2006,4.56095
Africa (UN),,2007,4.516514
Africa (UN),,2008,4.438249
Africa (UN),,2009,4.551408
Africa (UN),,2010,4.585107
Africa (UN),,2011,4.5198946
Africa (UN),,2012,4.509749
Africa (UN),,2013,4.52926
Africa (UN),,2014,4.550145
Africa (UN),,2015,4.570774
Africa (UN),,2016,4.5470304
Africa (UN),,2017,4.527069
Africa (UN),,2018,4.465843
Africa (UN),,2019,4.4223237
Africa (UN),,2020,4.4011393
Africa (UN),,2021,4.581525
Albania,ALB,1992,0.8572186
Albania,ALB,1993,0.9772813
Albania,ALB,1994,0.7320633
Albania,ALB,1995,1.5858861
Albania,ALB,1996,1.709849
Albania,ALB,1997,10.839451
Albania,ALB,1998,5.3520083
Albania,ALB,1999,4.0221853
Albania,ALB,2000,0.81025714
Albania,ALB,2001,2.4518077
Albania,ALB,2002,2.476082
Albania,ALB,2003,1.3475143
Albania,ALB,2004,1.2326849
Albania,ALB,2005,1.3777657
Albania,ALB,2006,1.5258485
Albania,ALB,2007,1.609188
Albania,ALB,2008,1.2863678
Albania,ALB,2009,0.47798258
Albania,ALB,2010,0.75637895
Albania,ALB,2011,1.2441598
Albania,ALB,2012,1.8032733
Albania,ALB,2013,1.3899463
Albania,ALB,2014,0.8348578
Albania,ALB,2015,1.1136644
Albania,ALB,2016,1.1835152
Albania,ALB,2017,0.9051787
Albania,ALB,2018,1.0447109
Albania,ALB,2019,0.9057984
Albania,ALB,2020,0.6280173
Albania,ALB,2021,0.8398921
Algeria,DZA,2012,0.28470418
Algeria,DZA,2013,0.20934504
Algeria,DZA,2014,0.44979757
Algeria,DZA,2015,0.3661507
Algeria,DZA,2016,0.37911308
Algeria,DZA,2017,0.27756804
Algeria,DZA,2018,0.41819835
Algeria,DZA,2019,0.41053125
Algeria,DZA,2020,0.57226574
Algeria,DZA,2021,0.7379827
American Samoa,ASM,2016,0
American Samoa,ASM,2017,4.0383644
American Samoa,ASM,2018,4.1169205
American Samoa,ASM,2019,0
Americas (UN),,2000,3.2988179
Americas (UN),,2001,3.5465481
Americas (UN),,2002,3.4828568
Americas (UN),,2003,3.3804183
Americas (UN),,2004,3.2055676
Americas (UN),,2005,3.1654685
Americas (UN),,2006,3.1282773
Americas (UN),,2007,3.0198183
Americas (UN),,2008,3.1185722
Americas (UN),,2009,3.3550196
Americas (UN),,2010,3.4038317
Americas (UN),,2011,3.50171
Americas (UN),,2012,3.5072324
Americas (UN),,2013,3.3927472
Americas (UN),,2014,3.330867
Americas (UN),,2015,3.2711084
Americas (UN),,2016,3.4462934
Americas (UN),,2017,3.611648
Americas (UN),,2018,3.5024092
Americas (UN),,2019,3.2841473
Americas (UN),,2020,3.282308
Americas (UN),,2021,3.351651
Andorra,AND,2007,0
Andorra,AND,2008,2.7127104
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Anguilla,AIA,1991,0
Anguilla,AIA,1993,21.746222
Anguilla,AIA,2000,0
Anguilla,AIA,2008,0
Anguilla,AIA,2009,0
Anguilla,AIA,2013,0
Antigua and Barbuda,ATG,1990,3.0456235
Antigua and Barbuda,ATG,1991,6.07598
Antigua and Barbuda,ATG,1992,2.9862335
Antigua and Barbuda,ATG,1993,0
Antigua and Barbuda,ATG,1994,2.8593078
Antigua and Barbuda,ATG,1995,5.589871
Antigua and Barbuda,ATG,1996,2.7302263
Antigua and Barbuda,ATG,1997,0
Antigua and Barbuda,ATG,2001,1.9259791
Antigua and Barbuda,ATG,2002,3.056683
Antigua and Barbuda,ATG,2008,11.393804
Antigua and Barbuda,ATG,2015,2.1237059
Antigua and Barbuda,ATG,2016,4.2204776
Antigua and Barbuda,ATG,2017,4.196523
Antigua and Barbuda,ATG,2018,6.2617407
Antigua and Barbuda,ATG,2019,2.076606
Antigua and Barbuda,ATG,2020,2.0648997
Antigua and Barbuda,ATG,2021,10.265149
Argentina,ARG,2015,1.7707825
Argentina,ARG,2017,1.8337847
Argentina,ARG,2018,1.7657576
Argentina,ARG,2019,1.805937
Argentina,ARG,2020,1.6315559
Argentina,ARG,2021,1.3472174
Armenia,ARM,1990,1.2407959
Armenia,ARM,1991,1.5937531
Armenia,ARM,1993,2.9994042
Armenia,ARM,1994,1.3928211
Armenia,ARM,1995,1.0967488
Armenia,ARM,1996,1.3285398
Armenia,ARM,1997,1.2593378
Armenia,ARM,1998,0.9090192
Armenia,ARM,1999,1.1415657
Armenia,ARM,2000,1.545975
Armenia,ARM,2001,1.1094686
Armenia,ARM,2002,1.1909264
Armenia,ARM,2003,0.6634455
Armenia,ARM,2004,1.3498544
Armenia,ARM,2005,0.67771107
Armenia,ARM,2006,1.6093382
Armenia,ARM,2007,0.8087592
Armenia,ARM,2008,1.6476126
Armenia,ARM,2009,1.5691227
Armenia,ARM,2010,0.6300314
Armenia,ARM,2011,1.201464
Armenia,ARM,2012,1.2051723
Armenia,ARM,2013,1.2085034
Armenia,ARM,2014,1.2748752
Armenia,ARM,2015,1.3414549
Armenia,ARM,2016,0.8965925
Armenia,ARM,2017,0.7065324
Armenia,ARM,2018,0.70896274
Armenia,ARM,2019,0.6469
Armenia,ARM,2020,1.038896
Armenia,ARM,2021,0.9123642
Aruba,ABW,1990,0
Aruba,ABW,1995,0
Aruba,ABW,1999,2.219731
Aruba,ABW,2001,4.239264
Aruba,ABW,2002,2.0906725
Aruba,ABW,2003,2.0672262
Aruba,ABW,2004,0
Aruba,ABW,2005,2.0237179
Aruba,ABW,2006,1.9993802
Aruba,ABW,2007,0
Aruba,ABW,2008,1.9503822
Aruba,ABW,2009,1.9260587
Aruba,ABW,2010,0
Aruba,ABW,2011,0
Aruba,ABW,2012,1.8698754
Aruba,ABW,2013,1.8534651
Aruba,ABW,2014,0
Asia (UN),,2000,1.9798492
Asia (UN),,2001,1.9430233
Asia (UN),,2002,1.8694957
Asia (UN),,2003,1.8208758
Asia (UN),,2004,1.8720964
Asia (UN),,2005,1.7616504
Asia (UN),,2006,1.7185158
Asia (UN),,2007,1.7371639
Asia (UN),,2008,1.7196202
Asia (UN),,2009,1.7798702
Asia (UN),,2010,1.6983248
Asia (UN),,2011,1.7490569
Asia (UN),,2012,1.7374896
