Entity,Code,Year,"Age standardized homicide rate per 100,000 population - Both Sexes - All ages"
Albania,ALB,1987,1.4941102
Albania,ALB,1988,1.622597
Albania,ALB,1989,2.404959
Albania,ALB,1992,4.418164
Albania,ALB,1993,6.3908205
Albania,ALB,1994,3.6417725
Albania,ALB,1995,8.234102
Albania,ALB,1996,8.23033
Albania,ALB,1997,39.64292
Albania,ALB,1998,19.164991
Albania,ALB,1999,15.354154
Albania,ALB,2000,3.963139
Albania,ALB,2001,7.5825934
Albania,ALB,2002,7.397636
Albania,ALB,2003,5.529039
Albania,ALB,2004,4.288402
Albania,ALB,2005,0
Albania,ALB,2006,0
Albania,ALB,2007,3.0673668
Albania,ALB,2008,2.9582543
Albania,ALB,2009,0
Albania,ALB,2010,2.2974486
Antigua and Barbuda,ATG,1961,1.7212371
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,4.355333
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1966,4.66046
Antigua and Barbuda,ATG,1969,0
Antigua and Barbuda,ATG,1970,0
Antigua and Barbuda,ATG,1971,0
Antigua and Barbuda,ATG,1972,2.7405405
Antigua and Barbuda,ATG,1973,8.222398
Antigua and Barbuda,ATG,1974,1.5017352
Antigua and Barbuda,ATG,1975,10.482392
Antigua and Barbuda,ATG,1976,0
Antigua and Barbuda,ATG,1977,1.0401101
Antigua and Barbuda,ATG,1978,0
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,1.5526831
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,3.8665147
Antigua and Barbuda,ATG,1990,1.9754196
Antigua and Barbuda,ATG,1991,4.8128004
Antigua and Barbuda,ATG,1992,2.6791527
Antigua and Barbuda,ATG,1993,7.4618692
Antigua and Barbuda,ATG,1994,6.815205
Antigua and Barbuda,ATG,1995,11.489333
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,2.2915537
Antigua and Barbuda,ATG,2001,12.667926
Antigua and Barbuda,ATG,2002,4.5167847
Antigua and Barbuda,ATG,2003,2.7621932
Antigua and Barbuda,ATG,2004,8.380565
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,4.7698736
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,1.1367183
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Antigua and Barbuda,ATG,2015,0
Antigua and Barbuda,ATG,2016,0
Antigua and Barbuda,ATG,2017,0
Argentina,ARG,1966,4.645993
Argentina,ARG,1967,6.113619
Argentina,ARG,1968,6.811847
Argentina,ARG,1969,7.294914
Argentina,ARG,1970,7.137942
Argentina,ARG,1977,8.406894
