Entity,Code,Year,"Homicide rate per 100,000 population - Both Sexes - All ages"
Albania,ALB,1987,1.3827935
Albania,ALB,1988,1.5216026
Albania,ALB,1989,2.1242294
Albania,ALB,1992,3.9816604
Albania,ALB,1993,5.8677473
Albania,ALB,1994,3.432685
Albania,ALB,1995,7.914533
Albania,ALB,1996,8.304799
Albania,ALB,1997,40.709057
Albania,ALB,1998,20.171633
Albania,ALB,1999,16.311594
Albania,ALB,2000,4.146851
Albania,ALB,2001,7.0400195
Albania,ALB,2002,6.94465
Albania,ALB,2003,5.361336
Albania,ALB,2004,4.247903
Albania,ALB,2005,0
Albania,ALB,2006,0
Albania,ALB,2007,2.8916664
Albania,ALB,2008,2.8472338
Albania,ALB,2009,0
Albania,ALB,2010,2.2998152
Antigua and Barbuda,ATG,1961,1.7801284
Antigua and Barbuda,ATG,1962,0
Antigua and Barbuda,ATG,1963,3.3999407
Antigua and Barbuda,ATG,1964,0
Antigua and Barbuda,ATG,1966,3.3099523
Antigua and Barbuda,ATG,1969,0
Antigua and Barbuda,ATG,1970,0
Antigua and Barbuda,ATG,1971,0
Antigua and Barbuda,ATG,1972,1.5499588
Antigua and Barbuda,ATG,1973,7.7877274
Antigua and Barbuda,ATG,1974,1.5659989
Antigua and Barbuda,ATG,1975,7.8632445
Antigua and Barbuda,ATG,1976,1.5759584
Antigua and Barbuda,ATG,1977,1.5756845
Antigua and Barbuda,ATG,1978,0
Antigua and Barbuda,ATG,1983,0
Antigua and Barbuda,ATG,1985,1.5640657
Antigua and Barbuda,ATG,1986,0
Antigua and Barbuda,ATG,1987,0
Antigua and Barbuda,ATG,1988,0
Antigua and Barbuda,ATG,1989,3.169689
Antigua and Barbuda,ATG,1990,1.5855156
Antigua and Barbuda,ATG,1991,4.7201443
Antigua and Barbuda,ATG,1992,3.0956147
Antigua and Barbuda,ATG,1993,6.07672
Antigua and Barbuda,ATG,1994,7.4483876
Antigua and Barbuda,ATG,1995,10.21881
Antigua and Barbuda,ATG,1998,0
Antigua and Barbuda,ATG,1999,0
Antigua and Barbuda,ATG,2000,2.6531284
Antigua and Barbuda,ATG,2001,11.756633
Antigua and Barbuda,ATG,2002,5.1564765
Antigua and Barbuda,ATG,2003,2.5480115
Antigua and Barbuda,ATG,2004,8.815007
Antigua and Barbuda,ATG,2005,0
Antigua and Barbuda,ATG,2006,4.908059
Antigua and Barbuda,ATG,2007,0
Antigua and Barbuda,ATG,2008,0
Antigua and Barbuda,ATG,2009,1.172789
Antigua and Barbuda,ATG,2012,0
Antigua and Barbuda,ATG,2013,0
Antigua and Barbuda,ATG,2014,0
Antigua and Barbuda,ATG,2015,0
Antigua and Barbuda,ATG,2016,0
Antigua and Barbuda,ATG,2017,0
Argentina,ARG,1966,4.542751
Argentina,ARG,1967,5.849462
Argentina,ARG,1968,6.667344
Argentina,ARG,1969,7.2003064
Argentina,ARG,1970,7.0640264
Argentina,ARG,1977,9.111663
Argentina,ARG,1978,5.6919765
Argentina,ARG,1979,3.6090446
Argentina,ARG,1980,3.5036976
Argentina,ARG,1981,3.881262
Argentina,ARG,1982,4.192994
Argentina,ARG,1983,4.2191443
Argentina,ARG,1984,4.7227736
Argentina,ARG,1985,4.967271
Argentina,ARG,1986,5.6302595
Argentina,ARG,1987,5.402328
Argentina,ARG,1988,5.5912557
Argentina,ARG,1989,5.9089727
Argentina,ARG,1990,4.9797497
Argentina,ARG,1991,4.255978
Argentina,ARG,1992,4.552636
Argentina,ARG,1993,4.4180374
Argentina,ARG,1994,4.373875
Argentina,ARG,1995,4.1305165
Argentina,ARG,1996,4.5595384
Argentina,ARG,1997,4.7647057
Argentina,ARG,1998,4.721305
Argentina,ARG,1999,5.277271
Argentina,ARG,2000,5.812906
Argentina,ARG,2001,6.9523215
Argentina,ARG,2002,7.5680203
Argentina,ARG,2003,7.295656
Argentina,ARG,2004,5.812015
Argentina,ARG,2005,5.2087693
Argentina,ARG,2006,4.977885
Argentina,ARG,2007,4.385616
Argentina,ARG,2008,4.456711
Argentina,ARG,2009,4.3996425
Argentina,ARG,2010,4.4428983
Argentina,ARG,2011,4.2794657
Argentina,ARG,2012,5.0087814
Argentina,ARG,2013,5.077498
Argentina,ARG,2014,5.425416
Argentina,ARG,2015,5.2180343
Argentina,ARG,2016,4.7644324
Argentina,ARG,2017,3.9304435
Argentina,ARG,2018,3.7075331
Argentina,ARG,2019,3.6016526
Armenia,ARM,1981,1.8758761
Armenia,ARM,1982,2.013485
Armenia,ARM,1985,1.4950544
Armenia,ARM,1986,1.3608278
Armenia,ARM,1987,1.8591515
Armenia,ARM,1988,2.5688405
Armenia,ARM,1989,2.8239257
Armenia,ARM,1990,5.824128
Armenia,ARM,1991,6.9143095
Armenia,ARM,1992,25.838999
Armenia,ARM,1993,8.126225
Armenia,ARM,1994,5.1295767
Armenia,ARM,1995,4.7443104
Armenia,ARM,1996,3.3107922
Armenia,ARM,1997,2.8307378
Armenia,ARM,1998,2.8182547
Armenia,ARM,1999,2.8972929
Armenia,ARM,2000,2.6229875
Armenia,ARM,2001,2.0131512
Armenia,ARM,2002,2.229465
Armenia,ARM,2003,1.9197791
Armenia,ARM,2006,1.9311346
Armenia,ARM,2007,1.7784734
Armenia,ARM,2008,1.8285532
Armenia,ARM,2009,1.8717324
Armenia,ARM,2010,1.471122
